无事不登三宝殿	wu'shi'bu'deng'san'bao'dian
机身	ji'shen
寄养	ji'yang
旱伞	han'san
空灵	kong'ling
两厢	liang'xiang
硫黄	liu'huang
枚举	mei'ju
瞑目	ming'mu
男装	nan'zhuang
核账	he'zhang
狠辣	hen'la
桥墩	qiao'dun
切切	qie'qie
窃听	qie'ting
轻装	qing'zhuang
趣事	qu'shi
烩饼	hui'bing
浑话	hun'hua
声威	sheng'wei
尸身	shi'shen
实心	shi'xin
受用	shou'yong
衰变	shuai'bian
水患	shui'huan
司务	si'wu
俗人	su'ren
泰斗	tai'dou
蹄子	ti'zi
天籁	tian'lai
挽联	wan'lian
王道	wang'dao
文档	wen'dang
忌嘴	ji'zui
物象	wu'xiang
相随	xiang'sui
凶险	xiong'xian
烟气	yan'qi
寄费	ji'fei
营盘	ying'pan
账本	zhang'ben
主楼	zhu'lou
助攻	zhu'gong
八仙	ba'xian
包涵	bao'han
家慈	jia'ci
禅师	chan'shi
臭虫	chou'chong
初学	chu'xue
存货	cun'huo
丹青	dan'qing
道喜	dao'xi
凋零	diao'ling
对等	dui'deng
复古	fu'gu
简政	jian'zheng
僵卧	jiang'wo
光耀	guang'yao
锅盖	guo'gai
荒坡	huang'po
寄主	ji'zhu
交臂	jiao'bi
胶木	jiao'mu
竟自	jing'zi
脚蹼	jiao'pu
考中	kao'zhong
烤鸭	kao'ya
烂熟	lan'shu
老生	lao'sheng
利好	li'hao
粮站	liang'zhan
接机	jie'ji
流沙	liu'sha
结彩	jie'cai
龙王	long'wang
路标	lu'biao
箩筐	luo'kuang
界外	jie'wai
解运	jie'yun
内蒙	nei'meng
欧姆	ou'mu
攀援	pan'yuan
秋千	qiu'qian
金锭	jin'ding
生火	sheng'huo
师从	shi'cong
实学	shi'xue
金瓜	jin'gua
嵩山	song'shan
送审	song'shen
涂改	tu'gai
武林	wu'lin
噤声	jin'sheng
鲜有	xian'you
小视	xiao'shi
竟购	jing'gou
严整	yan'zheng
阄儿	jiu'er
救驾	jiu'jia
绝早	jue'zao
油光	you'guang
渔港	yu'gang
军援	jun'yuan
菌苗	jun'miao
自控	zi'kong
自刎	zi'wen
遵命	zun'ming
败类	bai'lei
保修	bao'xiu
编程	bian'cheng
畅饮	chang'yin
初六	chu'liu
传动	chuan'dong
开衩	kai'cha
开伙	kai'huo
单机	dan'ji
雕琢	diao'zhuo
掉转	diao'zhuan
返校	fan'xiao
分设	fen'she
开溜	kai'liu
抗皱	kang'zhou
鼓书	gu'shu
炕几	kang'ji
孔穴	kong'xue
过从	guo'cong
寒暑	han'shu
候审	hou'shen
话别	hua'bie
口谕	kou'yu
焦黄	jiao'huang
咔嚓	ka'cha
考据	kao'ju
口吃	kou'chi
潦倒	liao'dao
叩见	kou'jian
炉灶	lu'zao
冒火	mao'huo
款留	kuan'liu
矿层	kuang'ceng
癞痢	la'li
判别	pan'bie
捞饭	lao'fan
瓤子	rang'zi
熔铸	rong'zhu
三宝	san'bao
设卡	she'ka
生锈	sheng'xiu
守门	shou'men
首批	shou'pi
受辱	shou'ru
水层	shui'ceng
偷袭	tou'xi
里院	li'yuan
推力	tui'li
亡灵	wang'ling
文职	wen'zhi
戏谑	xi'xue
鲜亮	xian'liang
小工	xiao'gong
俚歌	li'ge
洋洋	yang'yang
饮品	yin'pin
鱼种	yu'zhong
远非	yuan'fei
脏器	zang'qi
锃亮	zeng'liang
栈道	zhan'dao
敛迹	lian'ji
鲁菜	lu'cai
朱红	zhu'hong
乱党	luan'dang
纵情	zong'qing
爱憎	ai'zeng
凹陷	ao'xian
论敌	lun'di
报章	bao'zhang
不敬	bu'jing
待岗	dai'gang
垫子	dian'zi
反哺	fan'bu
满勤	man'qin
公爵	gong'jue
骨气	gu'qi
挂断	gua'duan
挂历	gua'li
灌浆	guan'jiang
寒光	han'guang
霉雨	mei'yu
恍若	huang'ruo
棉绒	mian'rong
家什	jia'shi
剪发	jian'fa
结余	jie'yu
解聘	jie'pin
看穿	kan'chuan
扣缴	kou'jiao
冷遇	leng'yu
里弄	li'long
毛豆	mao'dou
梅毒	mei'du
默许	mo'xu
幕府	mu'fu
年糕	nian'gao
派系	pai'xi
棉套	mian'tao
强暴	qiang'bao
面晤	mian'wu
芹菜	qin'cai
名嘴	ming'zui
冥寿	ming'shou
柔美	rou'mei
盛衰	sheng'shuai
拾遗	shi'yi
事由	shi'you
受热	shou're
受刑	shou'xing
纳罕	na'han
水情	shui'qing
逃荒	tao'huang
讨债	tao'zhai
南式	nan'shi
内亲	nei'qin
透水	tou'shui
蔫巴	nian'ba
颓唐	tui'tang
玩物	wan'wu
违心	wei'xin
巫师	wu'shi
新款	xin'kuan
巡游	xun'you
眼睑	yan'jian
黏附	nian'fu
有种	you'zhong
震怒	zhen'nu
排号	pai'hao
刨除	pao'chu
配楼	pei'lou
主队	zhu'dui
偏护	pian'hu
姘夫	pin'fu
作恶	zuo'e
暗号	an'hao
博学	bo'xue
平角	ping'jiao
充血	chong'xue
磁盘	ci'pan
打翻	da'fan
谱表	pu'biao
单干	dan'gan
捣蛋	dao'dan
抵赖	di'lai
垫底	dian'di
漆树	qi'shu
风蚀	feng'shi
封顶	feng'ding
棋苑	qi'yuan
告密	gao'mi
格斗	ge'dou
含混	han'hun
胡扯	hu'che
华章	hua'zhang
煎饼	jian'bing
街灯	jie'deng
起讫	qi'qi
冷轧	leng'ya
马戏	ma'xi
逆向	ni'xiang
年报	nian'bao
跑马	pao'ma
扑面	pu'mian
气锤	qi'chui
侨乡	qiao'xiang
求饶	qiu'rao
弃舍	qi'she
三军	san'jun
芡实	qian'shi
茜草	qian'cao
同性	tong'xing
统考	tong'kao
退步	tui'bu
完税	wan'shui
威吓	wei'he
伪书	wei'shu
卫国	wei'guo
抢嘴	qiang'zui
县官	xian'guan
桥拱	qiao'gong
寝具	qin'ju
语种	yu'zhong
赠书	zeng'shu
清神	qing'shen
祛暑	qu'shu
拙劣	zhuo'lie
总称	zong'cheng
韧度	ren'du
上感	shang'gan
涉讼	she'song
鬓发	bin'fa
并力	bing'li
不遑	bu'huang
麝牛	she'niu
省志	sheng'zhi
冲杀	chong'sha
失音	shi'yin
船票	chuan'piao
船身	chuan'shen
单方	dan'fang
电教	dian'jiao
冬眠	dong'mian
独霸	du'ba
放胆	fang'dan
该当	gai'dang
滚蛋	gun'dan
贺喜	he'xi
食积	shi'ji
横生	heng'sheng
花圃	hua'pu
解忧	jie'you
示例	shi'li
就势	jiu'shi
句法	ju'fa
靠边	kao'bian
收讫	shou'qi
收文	shou'wen
舒散	shu'san
卵石	luan'shi
螺丝	luo'si
满口	man'kou
树丫	shu'ya
平米	ping'mi
球类	qiu'lei
热流	re'liu
苏剧	su'ju
俗尚	su'shang
肾病	shen'bing
失措	shi'cuo
诗坛	shi'tan
士人	shi'ren
事体	shi'ti
丝绒	si'rong
瞳孔	tong'kong
妄为	wang'wei
汤泉	tang'quan
陶工	tao'gong
下风	xia'feng
显明	xian'ming
校风	xiao'feng
协管	xie'guan
仰天	yang'tian
业内	ye'nei
体尝	ti'chang
援外	yuan'wai
云梯	yun'ti
止血	zhi'xue
诸子	zhu'zi
停食	ting'shi
嘎巴	ga'ba
帮工	bang'gong
包公	bao'gong
剥落	bo'luo
铜锈	tong'xiu
常理	chang'li
朝拜	chao'bai
除尘	chu'chen
赌注	du'zhu
堆砌	dui'qi
顿足	dun'zu
发端	fa'duan
凸版	tu'ban
发冷	fa'leng
发霉	fa'mei
返程	fan'cheng
仿古	fang'gu
图鉴	tu'jian
扶梯	fu'ti
土俗	tu'su
土性	tu'xing
古装	gu'zhuang
果皮	guo'pi
推头	tui'tou
外钞	wai'chao
护发	hu'fa
换人	huan'ren
外径	wai'jing
旧居	jiu'ju
镢头	jue'tou
军售	jun'shou
王浆	wang'jiang
微末	wei'mo
力保	li'bao
绿茶	lv'cha
卖命	mai'ming
满分	man'fen
秘方	mi'fang
帏幕	wei'mu
尾椎	wei'zhui
畏光	wei'guang
皮袄	pi'ao
权贵	quan'gui
褥子	ru'zi
窝主	wo'zhu
鼯鼠	wu'shu
上古	shang'gu
上好	shang'hao
深省	shen'xing
施放	shi'fang
婺剧	wu'ju
试样	shi'yang
书页	shu'ye
堂皇	tang'huang
体例	ti'li
嬉耍	xi'shua
围垦	wei'ken
位次	wei'ci
无价	wu'jia
吸食	xi'shi
戏侮	xi'wu
绚烂	xuan'lan
扬尘	yang'chen
下存	xia'cun
异同	yi'tong
下账	xia'zhang
鱼翅	yu'chi
显能	xian'neng
主因	zhu'yin
歇伏	xie'fu
迫肥	po'fei
紫菜	zi'cai
醉心	zui'xin
碍事	ai'shi
白痴	bai'chi
崩塌	beng'ta
笔谈	bi'tan
掣肘	che'zhou
沉郁	chen'yu
邪财	xie'cai
传颂	chuan'song
船尾	chuan'wei
猝然	cu'ran
短命	duan'ming
耳闻	er'wen
咕哝	gu'nong
跪拜	gui'bai
邪行	xie'xing
华工	hua'gong
皇位	huang'wei
火坑	huo'keng
简讯	jian'xun
禁牧	jin'mu
菌种	jun'zhong
困倦	kun'juan
劳保	lao'bao
密使	mi'shi
密谈	mi'tan
民选	min'xuan
内销	nei'xiao
念佛	nian'fo
迁建	qian'jian
前端	qian'duan
上达	shang'da
霜冻	shuang'dong
同谋	tong'mou
痛失	tong'shi
胸饰	xiong'shi
虚礼	xu'li
页面	ye'mian
序论	xu'lun
旋梯	xuan'ti
引文	yin'wen
余生	yu'sheng
原木	yuan'mu
云霄	yun'xiao
在编	zai'bian
在册	zai'ce
照管	zhao'guan
蒸馏	zheng'liu
押题	ya'ti
纵贯	zong'guan
嘴儿	zui'er
牙缸	ya'gang
傲气	ao'qi
百业	bai'ye
摆平	bai'ping
雅正	ya'zheng
帮子	bang'zi
笔调	bi'diao
严控	yan'kong
出炉	chu'lu
答谢	da'xie
羊羹	yang'geng
道子	dao'zi
短袖	duan'xiu
妃子	fei'zi
药茶	yao'cha
工效	gong'xiao
公推	gong'tui
冶铸	ye'zhu
官衔	guan'xian
花环	hua'huan
机翼	ji'yi
野雉	ye'zhi
骄横	jiao'heng
结巴	jie'ba
立业	li'ye
凌厉	ling'li
留任	liu'ren
罗汉	luo'han
腋毛	ye'mao
饴糖	yi'tang
劈柴	pi'chai
偏执	pian'zhi
乞援	qi'yuan
蚁后	yi'hou
音控	yin'kong
印色	yin'se
入阁	ru'ge
印油	yin'you
升幅	sheng'fu
时令	shi'ling
刷子	shua'zi
水箱	shui'xiang
送客	song'ke
天光	tian'guang
恸哭	tong'ku
吞声	tun'sheng
影写	ying'xie
硬席	ying'xi
血型	xue'xing
泳帽	yong'mao
有辙	you'zhe
遗老	yi'lao
影壁	ying'bi
原形	yuan'xing
幼雏	you'chu
整版	zheng'ban
砖窑	zhuan'yao
转瞬	zhuan'shun
幼畜	you'chu
安于	an'yu
霸气	ba'qi
釉质	you'zhi
变卦	bian'gua
釉子	you'zi
不逊	bu'xun
策动	ce'dong
参差	cen'ci
鱼花	yu'hua
存留	cun'liu
月例	yue'li
暂缺	zan'que
贼星	zei'xing
电铃	dian'ling
对答	dui'da
繁盛	fan'sheng
炸锅	zha'guo
红颜	hong'yan
猴王	hou'wang
后辈	hou'bei
掌鞭	zhang'bian
见长	jian'zhang
借债	jie'zhai
仗胆	zhang'dan
聚拢	ju'long
决斗	jue'dou
考题	kao'ti
狂人	kuang'ren
立秋	li'qiu
连台	lian'tai
良方	liang'fang
流苏	liu'su
障蔽	zhang'bi
毛孔	mao'kong
南麓	nan'lu
尿布	niao'bu
贞烈	zhen'lie
排气	pai'qi
谦卑	qian'bei
亲和	qin'he
清茶	qing'cha
蒸饼	zheng'bing
支店	zhi'dian
弱智	ruo'zhi
扫墓	sao'mu
杀气	sha'qi
山巅	shan'dian
商贾	shang'gu
手抄	shou'chao
水解	shui'jie
支子	zhi'zi
织补	zhi'bu
搪瓷	tang'ci
剔透	ti'tou
贴现	tie'xian
哇啦	wa'la
中楷	zhong'kai
洗漱	xi'shu
眼花	yan'hua
洋葱	yang'cong
养女	yang'nv
一斑	yi'ban
引申	yin'shen
油耗	you'hao
油炸	you'zha
游艇	you'ting
转写	zhuan'xie
债主	zhai'zhu
正比	zheng'bi
自创	zi'chuang
醉酒	zui'jiu
保送	bao'song
籽棉	zi'mian
字谜	zi'mi
表字	biao'zi
鬓角	bin'jiao
不争	bu'zheng
财权	cai'quan
持法	chi'fa
充作	chong'zuo
走嘴	zou'zui
打私	da'si
盗伐	dao'fa
泛泛	fan'fan
扉页	fei'ye
副科	fu'ke
共振	gong'zhen
故此	gu'ci
瓜农	gua'nong
红豆	hong'dou
火球	huo'qiu
挤奶	ji'nai
暗疾	an'ji
既往	ji'wang
祭文	ji'wen
歼敌	jian'di
坚冰	jian'bing
酒壶	jiu'hu
绝症	jue'zheng
暗转	an'zhuan
开矿	kai'kuang
凹面	ao'mian
良药	liang'yao
燎原	liao'yuan
民品	min'pin
牟取	mou'qu
耐性	nai'xing
普照	pu'zhao
坝身	ba'shen
气团	qi'tuan
窍门	qiao'men
棒操	bang'cao
舌尖	she'jian
势能	shi'neng
手球	shou'qiu
税负	shui'fu
包伙	bao'huo
螳螂	tang'lang
特等	te'deng
停课	ting'ke
龅牙	bao'ya
王位	wang'wei
熄灯	xi'deng
乡愁	xiang'chou
寻衅	xun'xin
巡屉	xun'ti
背鳍	bei'qi
音阶	yin'jie
被絮	bei'xu
枝子	zhi'zi
智育	zhi'yu
本册	ben'ce
本愿	ben'yuan
壮阔	zhuang'kuo
蹦床	beng'chuang
拨弄	bo'nong
菜籽	cai'zi
残雪	can'xue
畅游	chang'you
递进	di'jin
动漫	dong'man
抖落	dou'luo
毒手	du'shou
秕谷	bi'gu
副高	fu'gao
功过	gong'guo
固态	gu'tai
观止	guan'zhi
贯串	guan'chuan
光秃	guang'tu
害病	hai'bing
货船	huo'chuan
缉捕	ji'bu
吉普	ji'pu
家世	jia'shi
尖刻	jian'ke
监事	jian'shi
笔立	bi'li
贬称	bian'cheng
哭闹	ku'nao
贬职	bian'zhi
莲藕	lian'ou
便览	bian'lan
楼宇	lou'yu
便人	bian'ren
标量	biao'liang
设限	she'xian
失察	shi'cha
标卖	biao'mai
衰亡	shuai'wang
私语	si'yu
太庙	tai'miao
通晓	tong'xiao
标样	biao'yang
心语	xin'yu
袖珍	xiu'zhen
选种	xuan'zhong
冰坝	bing'ba
冰车	bing'che
已婚	yi'hun
冰溜	bing'liu
震中	zhen'zhong
补酒	bu'jiu
中卫	zhong'wei
中弹	zhong'dan
追记	zhui'ji
擦子	ca'zi
跋扈	ba'hu
彩卷	cai'juan
包房	bao'fang
槽钢	cao'gang
茶树	cha'shu
齿轮	chi'lun
船东	chuan'dong
春笋	chun'sun
恶气	e'qi
发昏	fa'hun
扶养	fu'yang
估摸	gu'mo
孤僻	gu'pi
固化	gu'hua
茶炊	cha'chui
红日	hong'ri
极左	ji'zuo
开课	kai'ke
开炮	kai'pao
开票	kai'piao
考问	kao'wen
拆兑	chai'dui
立宪	li'xian
缠手	chan'shou
默念	mo'nian
拍马	pai'ma
前瞻	qian'zhan
襁褓	qiang'bao
秦腔	qin'qiang
常礼	chang'li
丝带	si'dai
撕扯	si'che
四书	si'shu
酸枣	suan'zao
瘫软	tan'ruan
抄收	chao'shou
条目	tiao'mu
铁打	tie'da
通盘	tong'pan
车带	che'dai
屠戮	tu'lu
外景	wai'jing
嬉笑	xi'xiao
相扑	xiang'pu
谢幕	xie'mu
心软	xin'ruan
车市	che'shi
扬帆	yang'fan
洋货	yang'huo
嘤嘤	ying'ying
永别	yong'bie
掌故	zhang'gu
衬纸	chen'zhi
中流	zhong'liu
主创	zhu'chuang
诚聘	cheng'pin
自白	zi'bai
齿龈	chi'yin
赤痢	chi'li
冲腾	chong'teng
暴乱	bao'luan
冰灯	bing'deng
查问	cha'wen
炽烈	chi'lie
戳穿	chuo'chuan
次之	ci'zhi
酬对	chou'dui
恫吓	dong'he
杜撰	du'zhuan
高就	gao'jiu
告破	gao'po
丑时	chou'shi
花脸	hua'lian
徽章	hui'zhang
出账	chu'zhang
接诊	jie'zhen
结缘	jie'yuan
劲敌	jing'di
居心	ju'xin
举荐	ju'jian
客票	ke'piao
辽远	liao'yuan
论据	lun'ju
初伏	chu'fu
冒汗	mao'han
初愿	chu'yuan
灭菌	mie'jun
鸣枪	ming'qiang
默哀	mo'ai
泥人	ni'ren
陪客	pei'ke
雏燕	chu'yan
升平	sheng'ping
丝袜	si'wa
天公	tian'gong
天宫	tian'gong
舛误	chuan'wu
痛斥	tong'chi
退守	tui'shou
忘形	wang'xing
午休	wu'xiu
下锅	xia'guo
串戏	chuan'xi
窗机	chuang'ji
垂念	chui'nian
泄密	xie'mi
心机	xin'ji
学运	xue'yun
样机	yang'ji
窈窕	yao'tiao
春令	chun'ling
遗风	yi'feng
义举	yi'ju
异族	yi'zu
翌年	yi'nian
影坛	ying'tan
纯品	chun'pin
于今	yu'jin
雌花	ci'hua
远亲	yuan'qin
栽树	zai'shu
争霸	zheng'ba
准保	zhun'bao
暗藏	an'cang
冰雕	bing'diao
粗盐	cu'yan
材质	cai'zhi
错字	cuo'zi
粗拙	cu'zhuo
催肥	cui'fei
感念	gan'nian
歌坛	ge'tan
海量	hai'liang
黑幕	hei'mu
红柳	hong'liu
花招	hua'zhao
怀恨	huai'hen
回天	hui'tian
会审	hui'shen
机耕	ji'geng
尖兵	jian'bing
开盘	kai'pan
烤火	kao'huo
客套	ke'tao
宽心	kuan'xin
愧对	kui'dui
林网	lin'wang
聋子	long'zi
打总	da'zong
缕缕	lv'lv
大要	da'yao
密闭	mi'bi
描画	miao'hua
铭文	ming'wen
泡影	pao'ying
票证	piao'zheng
带操	dai'cao
驱除	qu'chu
待承	dai'cheng
淡话	dan'hua
山花	shan'hua
蛋粉	dan'fen
倒汇	dao'hui
省力	sheng'li
倒休	dao'xiu
私企	si'qi
送还	song'hai
所部	suo'bu
梯级	ti'ji
天日	tian'ri
低陷	di'xian
滴管	di'guan
推托	tui'tuo
亡命	wang'ming
香皂	xiang'zao
详见	xiang'jian
刑期	xing'qi
敌区	di'qu
续建	xu'jian
沿革	yan'ge
电灌	dian'guan
异己	yi'ji
电灶	dian'zao
电钟	dian'zhong
隐忍	yin'ren
御驾	yu'jia
垫板	dian'ban
杂记	za'ji
砸烂	za'lan
正史	zheng'shi
至尊	zhi'zun
中雪	zhong'xue
紫砂	zi'sha
吊杆	diao'gan
褒扬	bao'yang
吊铺	diao'pu
标杆	biao'gan
兵员	bing'yuan
病员	bing'yuan
跌足	die'zu
巢穴	chao'xue
从命	cong'ming
冻儿	dong'er
倒立	dao'li
癫痫	dian'xian
动迁	dong'qian
兜捕	dou'bu
法警	fa'jing
仿照	fang'zhao
分内	fen'nei
高洁	gao'jie
兜卖	dou'mai
狗熊	gou'xiong
故国	gu'guo
国君	guo'jun
斗箕	dou'ji
合用	he'yong
豆乳	dou'ru
花会	hua'hui
货场	huo'chang
击伤	ji'shang
笃深	du'shen
假意	jia'yi
经书	jing'shu
笃守	du'shou
救生	jiu'sheng
端线	duan'xian
就范	jiu'fan
舅爷	jiu'ye
看点	kan'dian
空降	kong'jiang
烂漫	lan'man
凉鞋	liang'xie
留影	liu'ying
落得	luo'de
懵懂	meng'dong
牌号	pai'hao
齐集	qi'ji
气粗	qi'cu
铅球	qian'qiu
前茅	qian'mao
请战	qing'zhan
少时	shao'shi
畲族	she'zu
生姜	sheng'jiang
躲风	duo'feng
双杠	shuang'gang
水星	shui'xing
吮吸	shun'xi
说穿	shuo'chuan
吞咽	tun'yan
躲让	duo'rang
万顷	wan'qing
讹谬	e'miu
耳针	er'zhen
险境	xian'jing
校服	xiao'fu
蝎子	xie'zi
选配	xuan'pei
雪糕	xue'gao
法帖	fa'tie
发网	fa'wang
诱骗	you'pian
诱使	you'shi
翻胃	fan'wei
砸碎	za'sui
在握	zai'wo
折算	zhe'suan
凡心	fan'xin
中篇	zhong'pian
忠孝	zhong'xiao
反特	fan'te
住手	zhu'shou
白金	bai'jin
返潮	fan'chao
泛化	fan'hua
布匹	bu'pi
布阵	bu'zhen
呈报	cheng'bao
愁容	chou'rong
吹奏	chui'zou
道学	dao'xue
地洞	di'dong
踱步	duo'bu
焚香	fen'xiang
风口	feng'kou
赶车	gan'che
放刁	fang'diao
公允	gong'yun
盒饭	he'fan
红心	hong'xin
击打	ji'da
匠人	jiang'ren
放排	fang'pai
借阅	jie'yue
精液	jing'ye
肥源	fei'yuan
分米	fen'mi
口齿	kou'chi
篮板	lan'ban
两面	liang'mian
领主	ling'zhu
绿林	lu'lin
屡遭	lv'zao
落款	luo'kuan
吗啡	ma'fei
粉肠	fen'chang
旁观	pang'guan
喷气	pen'qi
凭据	ping'ju
气短	qi'duan
迁延	qian'yan
勤勉	qin'mian
轻敌	qing'di
粪筐	fen'kuang
人伦	ren'lun
人种	ren'zhong
术士	shu'shi
缝缀	feng'zhui
孵育	fu'yu
停建	ting'jian
同乐	tong'le
偷摸	tou'mo
透射	tou'she
浮词	fu'ci
玩味	wan'wei
舞狮	wu'shi
鲜肉	xian'rou
相映	xiang'ying
小女	xiao'nv
浮石	fu'shi
血路	xue'lu
姨母	yi'mu
隐身	yin'shen
迎头	ying'tou
营垒	ying'lei
语词	yu'ci
咒语	zhou'yu
做贼	zuo'zei
安闲	an'xian
保荐	bao'jian
别离	bie'li
不周	bu'zhou
猜忌	cai'ji
尘封	chen'feng
辅音	fu'yin
出水	chu'shui
垂柳	chui'liu
干松	gan'song
赌钱	du'qian
翻飞	fan'fei
复返	fu'fan
刚玉	gang'yu
号子	hao'zi
混同	hun'tong
火塘	huo'tang
几多	ji'duo
夹袄	jia'ao
节油	jie'you
靠岸	kao'an
苦处	ku'chu
岗地	gang'di
马群	ma'qun
莽原	mang'yuan
高纯	gao'chun
告缺	gao'que
哽塞	geng'se
沏茶	qi'cha
勾脸	gou'lian
穷尽	qiong'jin
屈膝	qu'xi
热望	re'wang
审阅	shen'yue
生身	sheng'shen
省心	sheng'xin
鼓包	gu'bao
使假	shi'jia
书评	shu'ping
檀香	tan'xiang
烫伤	tang'shang
梯形	ti'xing
跳远	tiao'yuan
筒子	tong'zi
投篮	tou'lan
土木	tu'mu
推说	tui'shuo
万状	wan'zhuang
刮削	gua'xiao
网罗	wang'luo
挂屏	gua'ping
挂轴	gua'zhou
观阵	guan'zhen
习习	xi'xi
下腰	xia'yao
押运	ya'yun
惯贼	guan'zei
灌肠	guan'chang
吟诵	yin'song
果胶	guo'jiao
战鼓	zhan'gu
整人	zheng'ren
正负	zheng'fu
撰著	zhuan'zhu
自修	zi'xiu
自缢	zi'yi
果料	guo'liao
作势	zuo'shi
暗里	an'li
巴望	ba'wang
拔河	ba'he
过电	guo'dian
裁剪	cai'jian
出警	chu'jing
单亲	dan'qin
亥时	hai'shi
刀片	dao'pian
捣鬼	dao'gui
低微	di'wei
顶头	ding'tou
寒腿	han'tui
顿然	dun'ran
发丧	fa'sang
放哨	fang'shao
粉色	fen'se
汗斑	han'ban
附庸	fu'yong
泔水	gan'shui
跟班	gen'ban
薅草	hao'cao
花期	hua'qi
环线	huan'xian
回心	hui'xin
活化	huo'hua
尖顶	jian'ding
教务	jiao'wu
节气	jie'qi
劫掠	jie'lve
耗散	hao'san
开裂	kai'lie
合数	he'shu
烂泥	lan'ni
明净	ming'jing
膀胱	pang'guang
抛售	pao'shou
跑车	pao'che
皮衣	pi'yi
核审	he'shen
横联	heng'lian
前脚	qian'jiao
巧遇	qiao'yu
禽蛋	qin'dan
青松	qing'song
倾城	qing'cheng
入团	ru'tuan
失神	shi'shen
贪欲	tan'yu
五脏	wu'zang
下唇	xia'chun
写稿	xie'gao
烟筒	yan'tong
验放	yan'fang
揶揄	ye'yu
烘制	hong'zhi
原物	yuan'wu
红曲	hong'qu
红参	hong'can
转口	zhuan'kou
壮汉	zhuang'han
后景	hou'jing
花肥	hua'fei
薄板	bo'ban
画堂	hua'tang
不赖	bu'lai
菜馆	cai'guan
环靶	huan'ba
换样	huan'yang
地堡	di'bao
吊车	diao'che
黄壤	huang'rang
俄而	e'er
砝码	fa'ma
悔棋	hui'qi
贿买	hui'mai
活门	huo'men
公分	gong'fen
孤城	gu'cheng
官爵	guan'jue
过细	guo'xi
悍然	han'ran
合奏	he'zou
基色	ji'se
狠毒	hen'du
吉剧	ji'ju
灰土	hui'tu
击溃	ji'kui
建都	jian'du
娇气	jiao'qi
教法	jiao'fa
寄怀	ji'huai
景况	jing'kuang
酒意	jiu'yi
君王	jun'wang
开拍	kai'pai
靠背	kao'bei
牢靠	lao'kao
老父	lao'fu
裂纹	lie'wen
瞒骗	man'pian
明胶	ming'jiao
明渠	ming'qu
内城	nei'cheng
排涝	pai'lao
漂移	piao'yi
权时	quan'shi
加洗	jia'xi
设点	she'dian
生擒	sheng'qin
失态	shi'tai
时差	shi'cha
见老	jian'lao
僵蚕	jiang'can
势利	shi'li
睡眼	shui'yan
损人	sun'ren
胎盘	tai'pan
探询	tan'xun
体恤	ti'xu
奖旗	jiang'qi
舞步	wu'bu
下端	xia'duan
香油	xiang'you
心迹	xin'ji
烟锅	yan'guo
筵席	yan'xi
阳历	yang'li
养母	yang'mu
音韵	yin'yun
氤氲	yin'yun
鱼雷	yu'lei
降等	jiang'deng
娇好	jiao'hao
中校	zhong'xiao
主战	zhu'zhan
专一	zhuan'yi
撞见	zhuang'jian
哀愁	ai'chou
帮凶	bang'xiong
娇养	jiao'yang
脚灯	jiao'deng
撤除	che'chu
从速	cong'su
粗心	cu'xin
脚垫	jiao'dian
倒影	dao'ying
斗牛	dou'niu
发青	fa'qing
番薯	fan'shu
脚腕	jiao'wan
教正	jiao'zheng
工整	gong'zheng
揭底	jie'di
拐子	guai'zi
洁肤	jie'fu
花厅	hua'ting
饥寒	ji'han
金币	jin'bi
旧情	jiu'qing
康健	kang'jian
禁毁	jin'hui
烙饼	lao'bing
禁例	jin'li
门球	men'qiu
面皮	mian'pi
泼墨	po'mo
漆器	qi'qi
抢手	qiang'shou
井栏	jing'lan
屈居	qu'ju
权当	quan'dang
警花	jing'hua
净得	jing'de
深色	shen'se
敬颂	jing'song
饰物	shi'wu
首座	shou'zuo
受旱	shou'han
顺路	shun'lu
啾啾	jiu'jiu
添彩	tian'cai
调教	tiao'jiao
跳马	tiao'ma
下限	xia'xian
闲适	xian'shi
小肠	xiao'chang
救穷	jiu'qiong
橘汁	ju'zhi
虚掩	xu'yan
依仗	yi'zhang
银白	yin'bai
举火	ju'huo
游移	you'yi
原址	yuan'zhi
阅览	yue'lan
云朵	yun'duo
征婚	zheng'hun
周游	zhou'you
不羁	bu'ji
拒敌	ju'di
得势	de'shi
卷缩	juan'suo
耳根	er'gen
开颜	kai'yan
翻转	fan'zhuan
分心	fen'xin
复婚	fu'hun
赶场	gan'chang
更衣	geng'yi
孤老	gu'lao
会务	hui'wu
火炕	huo'kang
考释	kao'shi
解嘲	jie'chao
戒心	jie'xin
紧俏	jin'qiao
精粹	jing'cui
拷绸	kao'chou
历法	li'fa
可着	ke'zhe
论争	lun'zheng
面熟	mian'shu
楠木	nan'mu
牛角	niu'jiao
皮子	pi'zi
瓶装	ping'zhuang
破费	po'fei
强占	qiang'zhan
切中	qie'zhong
秋色	qiu'se
仁爱	ren'ai
任由	ren'you
儒教	ru'jiao
空名	kong'ming
特警	te'jing
提携	ti'xie
天蓝	tian'lan
土法	tu'fa
空嫂	kong'sao
谓语	wei'yu
口算	kou'suan
燕麦	yan'mai
妖怪	yao'guai
枯朽	ku'xiu
宽旷	kuan'kuang
宽宥	kuan'you
鱼鳞	yu'lin
款步	kuan'bu
狂气	kuang'qi
诳语	kuang'yu
正房	zheng'fang
支委	zhi'wei
自纠	zi'jiu
框定	kuang'ding
